name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,use0,use1,use2,use3,use4,Chemical Class,Therapeutic Class,Habit Forming
funzi-l cream,Lulibet Cream,Luly Cream,Lulizol Cream,Lumycan Cream,Luly Cream,"Application site reactions (burning, irritation, itching and redness)",Dry skin,Skin peeling,Blisters on skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal skin infections,,,,,Azoles derivatives,DERMA,No
fexy 180 tablet,Lcfex 180 Tablet,Sigrofex 180mg Tablet,Montiz 180mg Tablet,Fexofen 180mg Tablet,Mavifex 180mg Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,RESPIRATORY,No
firmagon 80mg injection,Degapride 80mg Injection,Degarel 80mg Injection,Deghor 80 Injection,Degatide 80 Injection,Degalix 80 Injection,"Injection site reactions (pain, swelling, redness)",Weight gain,Hot flashes,Increased liver enzymes,Low sexual desire,Erectile dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prostate cancer,,,,,Polypeptides,HORMONES,No
fiberlact granules,Cadilose Green Granules,Samfibre Granules,Laxiza,Lactihusk  Granules,Laxitol Husk  Granules Sugar Free,Bloating,Stomach cramp,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Constipation,,,,,,GASTRO INTESTINAL,No
fungicip 150mg tablet,Odicon 150 Tablet,Fluzol 150mg Tablet,Fluka 150 Tablet,Fungiset 150mg Tablet,Fole 150mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
fluvator 50 tablet,Psyvoxin 50 Tablet,Flu Ocd 50mg Tablet,Ocivox 50 Tablet,Fluvo Star 50 Tablet,Manofluvo 50mg Tablet,Delayed ejaculation,Drowsiness,Erectile dysfunction,Low sexual desire,Nausea,Vomiting,Dryness in mouth,Fatigue,Increased sweating,Indigestion,Insomnia (difficulty in sleeping),Loss of appetite,Nervousness,Tremors,,,,,,,,,,,,,,,,,,,, Depression, Obsessive-compulsive disorder,,,,Aralkylketone Derivative,NEURO CNS,No
febucip 80 tablet,Febuset 80 Tablet,Feboxa 80 Tablet,Fubox 80 Tablet,Fbx 80 Tablet,Febubest 80 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
formost 200 respicap,,,,,,Nausea,Vomiting,Respiratory tract infection,Fungal infection of mouth,Sore throat,Headache,Hoarseness of voice,Dryness in mouth,Cough,"Musculoskeletal (bone, muscle or joint) pain",Increased heart rate,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
fenza cream,Fumac Cream,Fivasa Cream,Cosfen Vaginal Cream,Fenticoz 2% Cream,Fentimax Cream,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections of vagina,,,,,Imidazole derivatives,DERMA,No
fm derma ointment,Lutica M Ointment,Mupricon FM Ointment,Supirocin F Ointment,Muply F Ointment,Dermurex-F Ointment,Headache,Cough,Nosebleeds,Taste change,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,Itching,Burning sensation,,,,,,,,,,,,,,,,,,,, Severe allergic reactions,Treatment of Skin conditions with inflammation & itching,,,,,DERMA,No
febs tablet,Febzeal 40 Tablet,Febutax 40 Tablet,Febuday 40 Tablet,Feboxa 40 Tablet,Febuset 40 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
frext cr 100 tablet,Serovoxin-ER 100 Tablet,Obsace-ER 100mg Tablet,Ocivox-CR 100 Tablet,Voxox 100 Tablet ER,Voxaking 100mg Tablet ER,Delayed ejaculation,Drowsiness,Erectile dysfunction,Low sexual desire,Nausea,Vomiting,Dryness in mouth,Fatigue,Increased sweating,Indigestion,Insomnia (difficulty in sleeping),Loss of appetite,Nervousness,Tremors,,,,,,,,,,,,,,,,,,,, Depression, Obsessive-compulsive disorder,,,,Aralkylketone Derivative,NEURO CNS,No
flucold oral drops,Phenta Drop,Zencold Oral Drops,Naseral Oral Drops,Fibocold Oral Drops,Oncold D Oral Drops,Diarrhea,Rash,Nausea,Headache,Insomnia (difficulty in sleeping),Dizziness,Tachycardia,Palpitations,Fear,Anxiety,Restlessness,Tremors,Weakness,Discomfort when urinating,Hallucination,Convulsion,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,RESPIRATORY,No
frext 100 tablet,Psyvoxin 100mg Tablet,Arkavoxin 100mg Tablet,Voxazen 100mg Tablet,Flumin 100mg Tablet,Ocivox 100 Tablet,Delayed ejaculation,Drowsiness,Erectile dysfunction,Low sexual desire,Nausea,Vomiting,Dryness in mouth,Fatigue,Increased sweating,Indigestion,Insomnia (difficulty in sleeping),Loss of appetite,Nervousness,Tremors,,,,,,,,,,,,,,,,,,,, Depression, Obsessive-compulsive disorder,,,,Aralkylketone Derivative,NEURO CNS,No
fluvator 100 tablet,Psyvoxin 100mg Tablet,Arkavoxin 100mg Tablet,Voxazen 100mg Tablet,Flumin 100mg Tablet,Ocivox 100 Tablet,Delayed ejaculation,Drowsiness,Erectile dysfunction,Low sexual desire,Nausea,Vomiting,Dryness in mouth,Fatigue,Increased sweating,Indigestion,Insomnia (difficulty in sleeping),Loss of appetite,Nervousness,Tremors,,,,,,,,,,,,,,,,,,,, Depression, Obsessive-compulsive disorder,,,,Aralkylketone Derivative,NEURO CNS,No
fourderm cream,,,,,,Itching,Thinning of skin,Burning sensation at the site of application,Irritation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin infections,,,,,,DERMA,No
fondared 7.5 injection,Arixtra 7.5mg Injection,Fonda X 7.5mg Injection,Fondaflo 7.5 Injection,Fondazest 7.5 Injection,,Bleeding,Anemia (low number of red blood cells),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Deep vein thrombosis, Pulmonary embolism,,,,Synthetic Glucopyranoside,CARDIAC,No
fintrix tablet,Terbitotal Tablet,Terbinaforce Tablet,Terbest Tablet,Lamifin Tablet,Ifin 250mg Tablet,Headache,Diarrhea,Rash,Indigestion,Abnormal liver enzyme,Itching,Taste change,Nausea,Abdominal pain,Flatulence,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections,,,,,Allylamine,ANTI INFECTIVES,No
febuvel 40mg tablet,Febzeal 40 Tablet,Febutax 40 Tablet,Febuday 40 Tablet,Feboxa 40 Tablet,Febuset 40 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
formonide forte 12mcg/400mcg inhaler,Quikhale FB Forte 12mcg/400mcg Inhaler,Fomtide 12mcg/400mcg Inhaler,Fomtide NF 12 mcg/400 mcg Inhaler,Budetrol Forte Inhaler,Foracort Forte Inhaler,Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
fungeeheal 100 capsule,Itrasys 100 Capsule,Canditz Capsule,Itralase 100 Capsule,Itracan 100mg Capsule,Sporaz 100 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},OPHTHAL,No
formin plus  500 tablet sr,Metnurite 500mg/750mcg Tablet SR,Cureformin MC 500mg/750mcg Tablet SR,Rejumet Tablet SR,Bigomet M  Tablet SR,Frey-Met Tablet SR,Nausea,Taste change,Loss of appetite,Diarrhea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,ANTI DIABETIC,No
fluticort f 250 inhaler,Fullhale 6 mcg/250 mcg Inhaler,Combisure 6 mcg/250 mcg Inhaler,Winkast F Inhaler,Flozone 6mcg/250mcg Inhaler,Flutidin F 6mcg/250mcg Inhaler,Headache,Cough,Upper respiratory tract infection,Nasopharyngitis (inflammation of the throat and nasal passages),Sinus inflammation,Stomach discomfort,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
funzi-it 100mg capsule,Itrasys 100 Capsule,Canditz Capsule,Itralase 100 Capsule,Itracan 100mg Capsule,Sporaz 100 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},OPHTHAL,No
formonide 100 inhaler,Pulmofor B 100 Axacaps,Symbiva 100mcg Inhaler,Fomtide NF 6mcg/100mcg Inhaler,Vent FB 6 mcg/100 mcg Inhaler,Peakhale FB 6 mcg/100 mcg Inhaler,Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
funzi-l lotion alcohol free,Lulilok Lotion,Lulitez 1% Lotion,L-Sys Lotion,Lupizol 1% Lotion,Lulifin Lotion,"Application site reactions (burning, irritation, itching and redness)",Dry skin,Skin peeling,Blisters on skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal skin infections,,,,,Azoles derivatives,DERMA,No
flexilor 8 tablet,Topcam 8mg Tablet,Aqnox 8mg Tablet,Laxmo 8mg Tablet,Lorivib 8mg Tablet,Lozen 8mg Tablet,Dizziness,Headache,Stomach pain,Upset stomach,Diarrhea,Nausea,Vomiting,Indigestion,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,Amino acids and Derivatives,PAIN ANALGESICS,No
fenocor 67mg capsule,Fenobate 67mg Capsule,,,,,Increased liver enzymes,Nausea,Vomiting,Flatulence,Abdominal pain,Diarrhea,Headache,Back pain,Increased creatine phosphokinase (CPK) level in blood,Inflammation of the nose,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,,,,,PPAR alpha,CARDIAC,No
floatin 10mg tablet,Fluget 10mg Tablet,Fluoxet 10mg Tablet,Bardep-H Tablet,Fluoxer 10mg Tablet,Maxitin 10mg Tablet,Erectile dysfunction,Indigestion,Influenza like syndrome,Loss of appetite,Depression,Low sexual desire,Nausea,Sore throat,Sweating,Tremors,Weakness,Yawning,Abnormal dreams,Delayed ejaculation,Dryness in mouth,Insomnia (difficulty in sleeping),Nervousness,Sleepiness,Sinus infection,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Obsessive-compulsive disorder,,,Trifluoromethylbenzenes Derivative,NEURO CNS,No
funzi tablet,Terbitotal Tablet,Terbinaforce Tablet,Terbest Tablet,Lamifin Tablet,Ifin 250mg Tablet,Headache,Diarrhea,Rash,Indigestion,Abnormal liver enzyme,Itching,Taste change,Nausea,Abdominal pain,Flatulence,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections,,,,,Allylamine,ANTI INFECTIVES,No
febutax 80 tablet,Feboxa 80 Tablet,Fubox 80 Tablet,Fbx 80 Tablet,Febubest 80 Tablet,Ebuxo 80 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
foxstat 80 tablet,Febuset 80 Tablet,Feboxa 80 Tablet,Fubox 80 Tablet,Fbx 80 Tablet,Febubest 80 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
flame 20mg tablet,Dedep 20mg Tablet,Fluget 20mg Tablet,Arkadep 20mg Tablet,Depilox 20mg Tablet,Syine 20mg Tablet,Erectile dysfunction,Indigestion,Influenza like syndrome,Loss of appetite,Depression,Low sexual desire,Nausea,Sore throat,Sweating,Tremors,Weakness,Yawning,Abnormal dreams,Delayed ejaculation,Dryness in mouth,Insomnia (difficulty in sleeping),Nervousness,Sleepiness,Sinus infection,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Obsessive-compulsive disorder,,,Trifluoromethylbenzenes Derivative,NEURO CNS,No
fostera 20 mg/10 mg tablet,Olanzotic Forte 20mg/10mg Tablet,Olorest-F 20mg/10mg Tablet,Olanmet F Plus 20mg/10mg Tablet,Olaford Plus  20mg/10mg Tablet,Onyx Forte Tablet,Nausea,Vomiting,Diarrhea,Constipation,Dryness in mouth,Weight gain,Sleepiness,Orthostatic hypotension (sudden lowering of blood pressure on standing),Dizziness,Muscle stiffness,Restlessness,Tremors,Delayed ejaculation,Anorgasmia (decreased orgasm),Low sexual desire,,,,,,,,,,,,,,,,,,, Bipolar depression,,,,,,NEURO CNS,No
finobrate 145mg tablet,Finabate 145mg Tablet,Fibomine 145mg Tablet,Fenotor Tablet,Fenabrate 145mg Tablet,Finograt 145mg Tablet,Increased liver enzymes,Nausea,Vomiting,Flatulence,Abdominal pain,Diarrhea,Headache,Back pain,Increased creatine phosphokinase (CPK) level in blood,Inflammation of the nose,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,,,,,PPAR alpha,CARDIAC,No
floatin 40mg tablet,Flunec 40mg Tablet,S.R.B. 40mg Tablet,Salidep 40mg Tablet,Bardep-DS Tablet,Theoxetin 40mg Tablet,Erectile dysfunction,Indigestion,Influenza like syndrome,Loss of appetite,Depression,Low sexual desire,Nausea,Sore throat,Sweating,Tremors,Weakness,Yawning,Abnormal dreams,Delayed ejaculation,Dryness in mouth,Insomnia (difficulty in sleeping),Nervousness,Sleepiness,Sinus infection,,,,,,,,,,,,,,,Treatment of Depression,Treatment of Panic disorder,Treatment of Obsessive-compulsive disorder,,,Trifluoromethylbenzenes Derivative,NEURO CNS,No
fenza-l cream,Lulibet Cream,Luly Cream,Lulizol Cream,Lumycan Cream,Luly Cream,"Application site reactions (burning, irritation, itching and redness)",Dry skin,Skin peeling,Blisters on skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal skin infections,,,,,Azoles derivatives,DERMA,No
fluoren nasal spray,Sinospray-FT Nasal Spray,Spiroflut Nasal Spray,Spiroflut Nasal Spray,Ryno Nasal Spray,Odnase Nasal Spray,Nasal inflammation,Headache,Nosebleeds,Nasal ulceration,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,Glucocorticoids,RESPIRATORY,No
feboxa 80 tablet,Febuset 80 Tablet,Fubox 80 Tablet,Fbx 80 Tablet,Febubest 80 Tablet,Ebuxo 80 Tablet,Diarrhea,Headache,Increased liver enzymes,Nausea,Skin rash,Gout flares,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,,,,,Thiazole Derivative,PAIN ANALGESICS,No
femoston conti 1mg/5mg tablet,,,,,,Nausea,Headache,Breast pain,Irregular uterine bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hormone replacement therapy,,,,,,GYNAECOLOGICAL,No
foracort 200 autohaler,,,,,,Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
flucos dt 50 tablet,Flucot 50mg Tablet DT,Faze 50mg Tablet DT,Funnie 50mg Tablet DT,Trucand 50mg Tablet DT,AF 50 Tablet DT,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
famcimac 250 tablet,Famir 250mg Tablet,Simavir 250mg Tablet,Famnova 250mg Tablet,Penvir 250 Tablet,Famguard 250mg Tablet,Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,, Herpes labialis, Herpes Simplex Virus Infections, Shingles, Genital herpes infection,,Nucleoside analog,ANTI INFECTIVES,No
fritolev 500 tablet,Levepsy 500 Tablet,Levitam 500 Tablet,Levefree 500mg Tablet,Seiz-Free 500 Tablet,Levecad 500 Tablet,Sleepiness,Dizziness,Fatigue,Headache,Decreased appetite,Behavioral changes,Aggressive behavior,Irritation,Agitation,Nasal congestion (stuffy nose),Infection,,,,,,,,,,,,,,,,,,,,,,,Treatment of Epilepsy/Seizures,,,,,Pyrrolidinone & Acetamide Derivative,NEURO CNS,No
fusinol cream,Fusidil B Cream,Fuson B Cream,Fusee-B Cream,Fusigen-DP Cream,Betapic-G Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin infections,,,,,,DERMA,No
foligraf 150iu injection,Folliova 150IU Injection,Neogentin 150 Injection,Fostine 150 Injection,Endogen HP 150IU Injection,Ftrop 150IU Injection,Abdominal pain,Headache,Bloating,Pelvic pain,Abdominal cramp,Nausea,Respiratory disorder,Hot flushes,,,,,,,,,,,,,,,,,,,,,,,,,, Female infertility,,,,,Hormones,GYNAECOLOGICAL,No
faxicad 400 tablet,Gifaxin  400 Tablet,Ciboz 400 Tablet,Rifakem 400 Tablet,Rifnim 400 Tablet,Rixmin 400 Tablet,Dizziness,Nausea,Peripheral edema,Ascites (accumulation of fluid in the abdominal cavity),Fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hepatic encephalopathy,,,,,Rifamycin derivatives,GASTRO INTESTINAL,No
fexocet 180mg tablet,Lcfex 180 Tablet,Vinford 180 Tablet,Fexofen 180mg Tablet,Mavifex 180mg Tablet,Histafree 180 Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,RESPIRATORY,No
fenti vaginal capsule,Cosfen Vaginal Capsule,Fenticad Vaginal Capsule,Cosfen Vaginal Capsule,Fentozac 600mg Vaginal Capsule,Tinilact FZ Softgel Capsule,Erythema (skin redness),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections of vagina,,,,,Imidazole derivatives,DERMA,No
fusiwal ointment,Stafoban Ointment,Futop Ointment,Fusikab 2% Ointment,Fusiper Ointment,Fucinex Ointment,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial skin infections, Bacterial eye infections,,,,Steroid esters,DERMA,No
fevago 100mg/ml drop,Doliprane 100mg/ml Drop,Lanol 100mg/ml Drop,Cepal 100mg/ml Drop,Essmol 100mg/ml Drop,Aceto 100mg/ml Drop,Indigestion,Stomach pain,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,Treatment of Fever,,,,P-Aminophenol Derivative,PAIN ANALGESICS,No
fintrix 500 tablet,Terbest 500 Tablet,Lamifin -Forte Tablet,Abinex 500 Tablet,Texiford 500mg Tablet,Terbinaforce 500 Tablet,Headache,Diarrhea,Rash,Indigestion,Abnormal liver enzyme,Itching,Taste change,Nausea,Abdominal pain,Flatulence,,,,,,,,,,,,,,,,,,,,,,,, Fungal infections,,,,,Allylamine,ANTI INFECTIVES,No
fomtide 400 cfc free inhaler,Heal-O-Respi CFC-Free Inhaler,Peakhale FB 6 mcg/400 mcg Inhaler,Pulmofor B 400 Inhaler,Pneumafor 400 Inhaler CFC Free,Quikhale FB 400 Inhaler,Headache,Nausea,Vomiting,Stomach discomfort,Dizziness,Cough,Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,Sinus inflammation,Fungal infection of oropharynx,Tremors,Palpitations,Voice change,,,,,,,,,,,,,,,,,,,,,Treatment of Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
florina g 0.05mg/0.25mg tablet,Ovral Tablet,Levopauz 0.05mg/0.25mg Tablet,Esro G Tablet,X-Out 21 Tablet,Dear Tablet,Nausea,Headache,Breast pain,Abdominal pain,Weight gain,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,, Contraception,,,,,,GYNAECOLOGICAL,No
fungiset 150mg tablet,Odicon 150 Tablet,Fluzol 150mg Tablet,Fungicip 150mg Tablet,Fluka 150 Tablet,Fole 150mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
freelac granules orange lemon,Cadilose Green Granules,Samfibre Granules,Laxiza,Smuth Fiber,Lactihusk  Granules,Bloating,Stomach cramp,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Constipation,,,,,,GASTRO INTESTINAL,No
flurbin eye drop,Hylur Eye Drop,Optifen Eye Drop,Fludrop Eye Drop,Aflur Eye Drop,Sioflur Eye Drop,Eye discomfort,Burning sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Post-operative eye pain and inflammation,,,,,Propionic acid Derivatives,OPHTHAL,No
fexolife m 10 mg/120 mg tablet,Emlukast-FX Tablet,LCFEX-Mont Tablet,Fixar 10mg/120mg Tablet,Histakind-M Tablet,Histafree-M Tablet,Nausea,Diarrhea,Vomiting,Skin rash,Flu-like symptoms,Headache,Drowsiness,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,,,,,,RESPIRATORY,No
flomon eye drop,Fluroide Eye Drop,Flumet Eye Drop,Flurostar Eye Drop,Flosoft Eye Drop,F Lone 0.1% Eye Drop,Eye irritation,Burning sensation,Watery eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Redness and swelling in the eye,,,,,"Gluco/mineralocorticoids, progestogins and derivatives",OPHTHAL,No
fibrocet 50 tablet,Milpran 50mg Tablet,Milnace 50 Tablet,Milipran 50mg Tablet,Milantis 50 Tablet,,Nausea,Vomiting,Dizziness,Insomnia (difficulty in sleeping),Constipation,Anxiety,Decreased appetite,Increased sweating,Sexual dysfunction,,,,,,,,,,,,,,,,,,,,,,,,, Fibromyalgia, Depression,,,,Phenylacetamide Derivative,NEURO CNS,No
flutas 150 tablet,Odicon 150 Tablet,Fluzol 150mg Tablet,Fungicip 150mg Tablet,Fluka 150 Tablet,Fungiset 150mg Tablet,Headache,Nausea,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azole derivatives {Imidazoles},ANTI INFECTIVES,No
formin-sr 500 tablet,Metlong 500 Tablet SR,Bigomet SR 500 Tablet,Scodia SR 500 Tablet,Metsmall 500 Tablet SR,Mefomin 500 SR Tablet,Diarrhea,Nausea,Vomiting,Flatulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,Biguanides Derivative,ANTI DIABETIC,No
facer-mr tablet,Aclopic MR Tablet,Mahadol MR Tablet,Mitigate-MR Tablet,Stifen MR Tablet,Flexifen MR 100mg/500mg/250mg Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,PAIN ANALGESICS,No
formost 400 respicap,,,,,,Nausea,Vomiting,Respiratory tract infection,Fungal infection of mouth,Sore throat,Headache,Hoarseness of voice,Dryness in mouth,Cough,"Musculoskeletal (bone, muscle or joint) pain",Increased heart rate,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,,RESPIRATORY,No
furotop fa cream,Etaze-ID Cream,Ezimet-F Cream,Momisoft-F Cream,Momeroid F Cream,Mfsudif Cream,Headache,Sore throat,Itching,Nosebleeds,Viral infection,Upper respiratory tract infection,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Skin conditions with inflammation & itching,,,,,,DERMA,No
fusiwal b cream,Fexit B Cream,Fusidil B Cream,Fuson B Cream,Fusee-B Cream,Fusigen-DP Cream,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Skin infections,,,,,,DERMA,No
