medicamento_en,medicamento_principal,sustituto1_en,sustituto2_en,sustituto3_en,sustituto4_en,sustituto5_en,sustituto1_es,sustituto2_es,sustituto3_es,sustituto4_es,sustituto5_es
glycomet-gp 3/850 tablet pr,glycomet-gp 3/850 pablet pr,glido m3 plus tablet pr,glimisave m3 850 tablet pr,gepride m 3 tablet pr,metafort-g 853 tablet pr,gluconorm-g plus 3 tablet pr,glido m3 mas tableta pr,glimisave m3 850 pablet pr,gepride m 3 tableta pr,metafort-g 853 tableta pr,gluconorm-g mas 3 tabletas pr
geminor m 2 tablet pr,geminor m 2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr
glyciphage-g 1 tablet pr,gliciphage-g 1 tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
glimy m 1 tablet pr,brillante m 1 tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
glimestar-m2 forte tablet pr,glimestar-m2 forte tableta pr,glimiprex mf forte 2 tablet pr,geminor m2 forte tablet pr,glimisave m2 forte tablet pr,glimisave max forte 2 tablet pr,glyciphage-g 2 forte tablet pr,glimiprex mf forte 2 tableta pr,geminor m2 forte tableta pr,glimisave m2 forte tableta pr,glimisave max forte 2 pablet pr,gliciphage-g 2 forte tableta pr
gabantip at tablet,gabantip en la tableta,stayhappi gabapentin+amitriptyline 300mg/10mg tablet,biogab a 300mg/10mg tablet,nuroxy am 300mg/10mg tablet,trypwave-g tablet,gabatryp tablet,stayhappi gabapentina+amitriptilina 300mg/10mg tableta,biogab una tableta de 300 mg/10 mg,nuroxy am 300mg/10mg tableta,tableta trypwave-g,tableta gabatryp
gemcal nasal spray,spray nasal gemcal,kalnase nasal spray,citonap 200iu nasal spray,gemrich nasal spray,minotin 200iu nasal spray,miacalcic nasal 200,kalnase nasal spray,citonap 200iu nasal spray,gemrich nasal spray,minotin 200iu spray nasal,miacalcic nasal 200
glimisave m 2 tablet pr,glimisave m 2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr
gutclear syrup,jarabe guthear,totalax nf syrup,eva q syrup,lacsyp  syrup,lacrelax  syrup,encelax syrup,jarabe totalx nf,eva q jarabe,jarabe de lacsyp,jarabe de lacrelax,jarabe de encelax
glycohale-f rotacap,glycohale-f rotacap,,,,,,,,,,
gluconorm pg 2  tablet pr,gluconorm pg 2 tableta pr,pmg 2 tablet pr,peptihans pg 2mg/500mg/15mg tablet pr,glimiflo mp 2 tablet pr,mygainpro p 2 tablet pr,piomore-mg 2 tablet pr,pmg 2 pablet pr,peptihans pg 2mg/500mg/15mg tableta pr,glimiflo mp 2 tableta pr,mygainpro p 2 tableta pr,piomore-mg 2 tableta pr
glucoryl-mv 2 tablet sr,glucoryl-mv 2 tableta sr,ozomet-vg2 tablet sr,glimex mv 2mg/500mg/0.2mg tablet sr,glimric-mv2 tablet sr,starvog gm 2 tablet sr,voglibite-gm 2 tablet sr,tableta ozomet-vg2 sr,glimex mv 2mg/500mg/0.2mg tableta sr,tableta glimric-mv2 sr,starvog gm 2 tableta sr,voglibite-gm 2 tableta sr
glycolate 1 tablet,glicolate 1 tableta,gcolate 1mg tablet,,,,,tableta de 1 mg de gcolate,,,,
gutgermina oral suspension,suspension oral de gutgermina,ibiflora oral suspension,clausibac oral suspension,bacinova oral suspension,entrokid-l oral suspension,gitzer oral suspension,suspension oral de ibiflora,suspension oral de clausibac,suspension oral de bacinova,entrokid-l suspension oral,suspension oral de gitzer
gudcef drop,gudcef drop,cefodrox 25mg oral drops,c pod 25mg oral drops,podef 25mg oral drops,raypod oral drops,sopdox 25mg oral drops,cefodrox 25mg gotas orales,c pod 25mg gotas orales,podef 25mg gotas orales,gotas orales de raypod,sopdox 25mg gotas orales
gemfos tablet,tableta gemfos,fossical 35mg tablet,bone c fos 35mg tablet,risoweek 35mg tablet,osteo plus 35 tablet,risofos 35 tablet,tableta fossical 35mg,buso c fos 35mg tableta,tableta risoweek 35mg,osteo mas 35 tableta,risofos 35 tableta
glucobay 25 tablet,glucobay 25 tableta,k carb 25mg tablet,glubose 25mg tablet,glucarb 25mg tablet,ac 25mg tablet,acarex 25mg tablet,k carb 25mg tableta,glubose 25mg tableta,glucarb 25mg tableta,ac 25mg tableta,acarex 25mg tableta
glycomet trio forte 2 tablet sr,glycomet trio forte 2 tablet sr,harrimet trio 2 tablet sr,voglow gm voglow-gm 2 forte 2mg/1000mg/0.2mg tablet sr,voglow-gm 2 forte tablet sr,glimisave mv 2.2f tablet sr,vogloyd 3d 2.2 forte 2mg/1000mg/0.2mg tablet sr,harrimet trio 2 tablet sr,voglow gm voglow-gm 2 forte 2mg/1000mg/0.2mg tableta sr,voglow-gm 2 forte tableta sr,glimisave mv 2.2f tablet sr,vogloyd 3d 2.2 forte 2mg/1000mg/0.2mg tableta sr
glimiprex mf 2/500 tablet pr,glimiprex mf 2/500 tableta pr,glimed-mf 2/500 er tablet,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,geminor m 2 tablet pr,vislante-mf 2/500 er tablet,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr,geminor m 2 tableta pr
glocin gel,gel de glocina,clinsol gel,acnetoin gel,clintok n gel,acnesol-nc gel,clindwin gel,gel de clinsol,gel,clintok n gel,gel de acnesol-nc,gel de clindwin
gabator nt 400mg/10mg tablet,gabator nt 400mg/10mg tableta,gabanyt 400mg/10mg tablet,gabathica nt 400mg/10mg tablet,mylamin gn tablet,dutam plus tablet,arobaba nt 400mg/10mg tablet,gabanyt 400mg/10mg tableta,gabathica nt 400mg/10mg tableta,tableta mylamin gn,tableta dutam plus,arobaba nt 400mg/10mg tableta
glevo 500 tablet,tableta glevo 500,nirliv 500mg tablet,levocef 500mg tablet,levoshan 500mg tablet,qulef 500mg tablet,livol 500mg tablet,nirliv 500mg tableta,levocef 500mg tableta,levoshan 500mg tableta,tableta qulef 500mg,tableta livol 500mg
gp 0.5 tablet,gp 0.5 tableta,semi-amaryl tablet,flexiglim 0.5 tablet,zoryl 0.5mg tablet,zoryl 0.5 tablet,,tableta semi-amaril,tableta flexiglim 0.5,tableta zoryl 0.5mg,zoryl 0.5 tableta,
glucoryl-m 1 tablet pr,glucoryl-m 1 tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
gudcef dry syrup,jarabe seco de gudcef,glapod 50 dry syrup strawberry,cemcin 50mg oral suspension,vanpox 50 oral suspension,emidox 50 dry syrup,ogpod dry syrup,glopod 50 sech biert strawberry,cemcin 50 mg de suspension oral,vanpox 50 suspension oral,emidox 50 jarabe seco,jarabe seco ogpod
gibtulio 10mg tablet,tableta gibtulio 10mg,jardiance 10mg tablet,oboravo 10mg tablet,cospiaq 10mg tablet,,,jardiance 10mg tableta,oboravo 10mg tableta,cospiaq 10mg tableta,,
grilinctus-bm tablet,tableta grilintus-bm,kuff x tablet,etoxin b tablet,etoxin b forte tablet,,,tableta kuff x,tableta de etoxina b,tableta de forte de etoxina b,,
glimisave mv 2 tablet sr,glimisave mv 2 tablet sr,ozomet-vg2 tablet sr,glimex mv 2mg/500mg/0.2mg tablet sr,glimric-mv2 tablet sr,starvog gm 2 tablet sr,voglibite-gm 2 tablet sr,tableta ozomet-vg2 sr,glimex mv 2mg/500mg/0.2mg tableta sr,tableta glimric-mv2 sr,starvog gm 2 tableta sr,voglibite-gm 2 tableta sr
gestin tablet,tableta gestin,dubnil 5mg tablet,fetugard 5mg tablet,pregular 5mg tablet,prolin a 5mg tablet,lutanin 5mg tablet,tableta dubnil 5mg,tableta fetugard 5mg,tableta pregular 5 mg,prolin una tableta de 5 mg,tableta lutanin 5mg
gabantin forte tablet,tableta gabantin forte,gabanyl 300mg/500mcg tablet,novonerve-g tablet,miol g 300 mg/500 mcg tablet,gbm tablet,mecofort g tablet,tableta gabanyl 300mg/500mcg,tableta novonerve-g,miol g 300 mg/500 mcg tableta,tableta gbm,mecofort g tableta
glimestar-pm1 tablet er,glimestar-pm1 tableta er,tri walaphage 1 tablet er,k-pio-gm 1mg tablet er,gpm -sr 1 tablet,glimcloud-mp 1 tablet er,glumight pm 1mg/500mg/15mg tablet er,tri walaphage 1 tableta er,k-pio-gm 1mg tableta er,gpm -sr 1 tableta,glimcloud-mp 1 tableta er,glumight pm 1mg/500mg/15mg tableta er
gp 2 tablet,gp 2 tableta,isryl 2 tablet,ziglim 2 tablet,glimestar 2 tablet,glimefide 2mg tablet,glimp 2 tablet,tableta isryl 2,ziglim 2 tableta,glimestar 2 tableta,glimifide 2mg tableta,vislumbrar 2 tableta
genevac-b adult vaccine,vacuna para adultos de ginevac-b,bevac 20mcg injection,energix b 20mcg injection,revac-b plus adult vaccine,cefvac- b adult vaccine,shanvac-b 20mcg vaccine,inyeccion de 20mcg de bevac,energix b 20mcg inyeccion,revac-b plus vacuna para adultos,vacuna para adultos cefvac- b,vacuna shanvac-b 20mcg
geminor m2 forte tablet pr,geminor m2 forte tableta pr,glimiprex mf forte 2 tablet pr,glimestar-m2 forte tablet pr,glimisave m2 forte tablet pr,glimisave max forte 2 tablet pr,glyciphage-g 2 forte tablet pr,glimiprex mf forte 2 tableta pr,glimestar-m2 forte tableta pr,glimisave m2 forte tableta pr,glimisave max forte 2 pablet pr,gliciphage-g 2 forte tableta pr
glyciphage tablet,tableta de glucos,biciphage 500 tablet,okamet 500 tablet,etformin 500mg tablet,bigomet 500 tablet,glycirite 500mg tablet,biphage 500 tableta,tableta okamet 500,tableta etformin 500mg,bigomet 500 tableta,tableta de 500 mg de glicirita
glimisave m 1 tablet pr,glimisave m 1 tableta pr,glimestar-m 1 tablet pr,metride 1 tablet pr,diapride m1 tablet pr,glycomet-gp 1 tablet pr,geminor m 1 tablet pr,glimestar-m 1 tableta pr,metride 1 tableta pr,diapride m1 tableta pr,glycompet-gp 1 tableta pr,geminor m 1 tableta pr
gravol tablet,tableta de gravol,transmine 50mg tablet,draminate 50mg tablet,dimentral 50mg tablet,,,tableta de transmina 50 mg,dramate 50 mg de tableta,tableta dimental 50mg,,
grilinctus  paediatric syrup,jarabe pediatrico grilintus,coldnect syrup,sensicold syrup,recold syrup,b cozy syrup,linpar plus syrup,jarabe de frio,jarabe sensicold,jarabe de recolto,b jarabe acogedor,linpar mas jarabe
golbi 300 tablet,golbi 300 tableta,ursocad 300 tablet,fortibile 300 tablet,urdiogem 300 tablet,sorbidiol 300 tablet,ursomax 300 tablet,tableta ursocad 300,fortibile 300 tableta,urdiogem 300 tableta,sorbidiol 300 tableta,ursomax 300 tableta
gabagesic gel,gel gabesico,gabaprime plus gel,nervepen gel,progaba plus gel,europin gel,neurolib trio gel,gabaprim mas gel,gel nervioso,progaba mas gel,gel de europin,neurolib trio gel
gris odt tablet,tableta gris odt,terbitotal tablet,terbinaforce tablet,terbest tablet,lamifin tablet,ifin 250mg tablet,tableta terbitotal,tableta de terbinaforce,tableta mas terb,tableta lamifina,ifin 250mg tableta
gudcef 100mg tablet dt,gudcef 100mg tableta dt,xop 100mg tablet dt,uva cef 100mg tablet dt,zipod 100mg tablet dt,finecef 100mg tablet dt,doxcef 100mg tablet dt,xop 100mg tableta dt,uva cef 100mg tablet dt,tableta de 100 mg de zipod dt,finecef 100mg tableta dt,doxcef 100mg tableta dt
gibtulio met 12.5mg/500mg tablet,gibtulio se reunio 12.5mg/500 mg de tableta,jardiance met 12.5mg/500mg tablet,cospiaq met 12.5mg/500mg tablet,,,,jardiance se reunio 12.5mg/500mg tableta,cospiaq se reunio 12.5mg/500 mg de tableta,,,
gemvert tablet,tableta gemvert,cinzan plus tablet,cinnaritus-d tablet,stalvert 20mg/40mg tablet,veridiz tablet,cimenza 20mg/40mg tablet,tableta cinzan plus,tableta cinnaritus-d,estalvert 20mg/40 mg de tableta,tableta veridiz,cimenza 20mg/40mg tableta
genticyn 80mg injection,inyeccion genticyn 80mg,germenta 80mg injection,gmi 80mg injection,gentact injection,zoftagen 80mg injection,gentacore 80mg injection,inyeccion de 80 mg de germenta,inyeccion de 80 mg de gmi,inyeccion de gentacto,inyeccion de zoffagen 80mg,inyeccion de 80 mg de gentacore
glycomet 850 sr tablet,glycomet 850 sr tableta,metix 850mg tablet sr,metrose 850 sr tablet,rezilent 850mg tablet sr,metlife 850mg tablet sr,metwin 850mg tablet sr,metix 850mg tableta sr,metrose 850 sr tableta,rezilent 850mg tablet sr,metlife 850mg tablet sr,metwin 850mg tableta sr
grandem md tablet,tableta md de granem,granistop 1mg tablet md,graniden 1mg tablet md,granivom 1mg tablet md,anset g 1mg tablet md,granirex 1mg tablet md,granistop 1mg tableta md,graniden 1 mg de tableta md,granivom 1mg tableta md,aniso g 1mg tableta md,granirex 1mg tableta md
glyciphage-g 2 tablet pr,gliciphage-g 2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr
glycomet-gp 4 forte tablet pr,glycomet-gp 4 forte tableta pr,isryl-m 4 forte tablet pr,diapride m4 forte tablet pr,glador m4 forte tablet pr,glimestar-m4 forte tablet pr,gemer ds 4 tablet pr,isryl-m 4 pableta parta,diapride m4 forte tableta pr,glador m4 forte tableta pr,glimestar-m4 forte tableta pr,gemer ds 4 tableta pr
glimestar 1 tablet,glimestar 1 tableta,isryl 1 tablet,ziglim 1 tablet,euglim 1 tablet,zoryl 1 tablet,glimisave 1 tablet,isryl 1 tableta,ziglim 1 tableta,euglim 1 tableta,zoryl 1 tableta,glimisave 1 tableta
glemont-f tablet,tableta glemont-f,emlukast-fx tablet,lcfex-mont tablet,fixar 10mg/120mg tablet,histakind-m tablet,histafree-m tablet,tableta emlukast-fx,tableta lcfex-mont,tableta fixar 10mg/120mg,tableta histakind-m,tableta histafree-m
gatiquin-p eye drop,gatiquin-p,gatsun-p eye drop,zengat p eye drop,gat p eye drop,akrogat p eye drop,gate p eye drop,gatsun-p ojo caida,zengat p eye drop,gat p ojo gota,akrogat p,puerta de gota de ojos
gabanyl nt 400mg/10mg tablet,gabanilo nt 400mg/10mg tableta,gabanyt 400mg/10mg tablet,gabathica nt 400mg/10mg tablet,mylamin gn tablet,dutam plus tablet,arobaba nt 400mg/10mg tablet,gabanyt 400mg/10mg tableta,gabathica nt 400mg/10mg tableta,tableta mylamin gn,tableta dutam plus,arobaba nt 400mg/10mg tableta
gluconorm sr 1gm tablet,gluconorm sr 1gm tableta,medfor 1000mg tablet sr,metsmall 1000 tablet sr,bigomet -sr 1000 tablet,walaphage -sr 1000 tablet,riomet od 1000mg tablet sr,medfor 1000mg tableta sr,metsmall 1000 tableta sr,bigomet -sr 1000 tableta,walaphage -sr 1000 tableta,riomet od 1000mg tablet sr
gabantin 300 capsule,capsula gabantin 300,gabatix 300 capsule,gabanyl 300 capsule,gabacap 300mg capsule,gabatin 300 capsule,gabacip 300mg capsule,capsula gabatix 300,capsula de gabanilo 300,capsula de 300 mg de gabacap,capsula gabatin 300,capsula de 300 mg de gabacip
genericart levocetirizine dihydrochloride 5mg tablet,genicart levocetirizine dihidrocloruro 5 mg de tableta,levosiz tablet,alci 5mg tablet,lcz tablet,lecope tablet,1-al tablet,tableta levosiz,tableta alci 5mg,tableta lcz,tableta de lecope,1-al tableta
gemer ds 1 tablet pr,gemer ds 1 tableta pr,glimiprex mf forte 1 tablet pr,duopil 1 forte tablet pr,walaphage g 1 forte tablet pr,glimestar-m1 forte tablet pr,glimital-m1 forte tablet pr,glimiprex mf forte 1 tableta pr,duopil 1 forte tableta pr,walaphage g 1 forte tableta pr,glimestar-m1 forte tableta pr,glimital-m1 forte tableta pr
grilinctus-bm paediatric syrup,jarabe pediatrico grilintus-bm,torlinctus bm syrup,glinter-pd syrup,broncare 1.5mg/5ml/4mg/5ml syrup,zinter syrup,mucosol syrup,torlinctus bm jarabe,jarabe de glinter-pd,broncare 1.5mg/5ml/4mg/5ml jarabe,jarabe,jarabe de mucosol
glyciphage-vg2 tablet sr,gliciphage-vg2 tableta sr,ozomet-vg2 tablet sr,glimex mv 2mg/500mg/0.2mg tablet sr,glimric-mv2 tablet sr,starvog gm 2 tablet sr,voglibite-gm 2 tablet sr,tableta ozomet-vg2 sr,glimex mv 2mg/500mg/0.2mg tableta sr,tableta glimric-mv2 sr,starvog gm 2 tableta sr,voglibite-gm 2 tableta sr
glizid 80 tablet,glizid 80 tableta,dianorm 80mg tablet,glycigon tablet,reclide tablet,diagli 80mg tablet,cyblex 80 tablet,tableta dianorm 80mg,tableta glucigon,tableta reclide,diegli 80mg tableta,cyblex 80 tableta
glimestar 2 tablet,glimestar 2 tableta,isryl 2 tablet,ziglim 2 tablet,glimefide 2mg tablet,glimp 2 tablet,glimisave 2 tablet,tableta isryl 2,ziglim 2 tableta,glimifide 2mg tableta,vislumbrar 2 tableta,glimisave 2 tableta
glizid 40 tablet,glizid 40 tableta,glifid 40mg tablet,reclide 40 tablet,glizato 40mg tablet,cyblex 40 tablet,semi-glycigon tablet,tableta de 40 mg con canon,reclide 40 tableta,glizato 40mg tableta,tableta cyblex 40,tableta semi-glicigon
gamascab lotion,locion gamascab,nit n mite lotion,scabisin lotion,scabcur lotion,benzo lotion,gamabiol lotion,nit n mite locion,locion de escabistros,locion escabricada,locion benzo,locion gamabiol
glimy 1 tablet,normenta 1 tableta,isryl 1 tablet,ziglim 1 tablet,euglim 1 tablet,glimestar 1 tablet,zoryl 1 tablet,isryl 1 tableta,ziglim 1 tableta,euglim 1 tableta,glimestar 1 tableta,zoryl 1 tableta
gudcef -xl 200 new tablet er,gudcef -xl 200 nueva tableta er,dostrip-d 200mg/500mg tablet er,ceedoric dx 200mg/500mg tablet er,zedocef dxl 200 tablet er,,,dostrip-d 200mg/500mg tableta er,ceedoric dx 200mg/500mg tableta er,zedocef dxl 200 tableta er,,
glucoryl-m 2 tablet pr,glucoryl-m 2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr
glimy m 2 tablet pr,brillante m 2 tableta pr,glimed-mf 2/500 er tablet,glimiprex mf 2/500 tablet pr,euglim-m 2 tablet pr,glimestar-m 2 tablet pr,metride 2 tablet pr,vislante-mf 2/500 er tablet,glimiprex mf 2/500 tableta pr,euglim-m 2 tableta pr,glimestar-m 2 tableta pr,metride 2 tableta pr
grandem syrup,jarabe,granday syrup,granilet 1mg syrup,,,,jarabe de granday,granilet 1 mg de jarabe,,,
glizid -mr 60 tablet,glizid -mr 60 tableta,glycigon 60mg tablet mr,diabend -mr 60 tablet,prizide 60mg tablet mr,azukon mr 60 tablet,glizihenz 60 tablet mr,glucigon 60 mg de tableta mr,diabend -mr 60 tableta,piside 60mg tableta mr,azukon mr 60 tablet,glizihenz 60 tableta mr
gestone injection,inyeccion de gestone,proza n 100mg injection,curenin 100mg injection,gestorin 100mg injection,arigest 100mg injection,gestwel 100mg injection,proza n 100mg inyeccion,inyeccion de 100 mg de curenina,inyeccion de 100 mg de gestorin,inyeccion de 100 mg de arigest,inyeccion de 100 mg de gestwel
gluconorm-g 1 forte tablet pr,gluconorm-g 1 forte tableta pr,glimiprex mf forte 1 tablet pr,duopil 1 forte tablet pr,walaphage g 1 forte tablet pr,glimestar-m1 forte tablet pr,glimital-m1 forte tablet pr,glimiprex mf forte 1 tableta pr,duopil 1 forte tableta pr,walaphage g 1 forte tableta pr,glimestar-m1 forte tableta pr,glimital-m1 forte tableta pr
gemer forte 2 tablet pr,gemer forte 2 tableta pr,glido m2 plus  tablet pr,duopil-hs 2/850 tablet pr,glycomet-gp 2/850 tablet pr,zoryl-mf 2 tablet pr,glimisave m2 850 tablet pr,glido m2 mas tableta pr,duopil-hs 2/850 pablet pr,glycomet-gp 2/850 pablet pr,zoryl-mf 2 tableta pr,glimisave m2 850 tableta pr
gulfadryl syrup,jarabe de gulfadryl,cascahist syrup,bentoril syrup,belcof syrup,mecodryl af syrup,pencough as syrup sugar free,jarabe de cascahista,jarabe de bentoril,jarabe de belcof,mecodryl af jarup,pencough como jarabe sin azucar
geminor mp 2 tablet sr,geminor mp 2 tableta sr,pioplus 2 tablet sr,ziglim plus 2 tablet sr,triglynase 2 tablet sr,trigli 2 tablet sr,triglimiprex 2 tablet sr,pioplus 2 tableta sr,ziglim mas 2 tableta sr,triglynase 2 tableta sr,trigli 2 tableta sr,triglimiprex 2 tableta sr
gabantip at 100 tablet,gabantip a 100 tableta,encentin at 100mg/10mg tablet,gabatryp ls 100mg/10mg tablet,amigatin ls 100mg/10mg tablet,gabtan-at ls tablet,gabatag a 100mg/10mg tablet,encentina a 100 mg/10 mg de tableta,gabatryp ls 100mg/10mg tableta,amigatin ls 100mg/10mg tableta,gabtan-at ls tableta,gabatag una tableta de 100 mg/10mg
glimda-mv 2 tablet sr,glimda-mv 2 tableta sr,ozomet-vg2 tablet sr,glimex mv 2mg/500mg/0.2mg tablet sr,glimric-mv2 tablet sr,starvog gm 2 tablet sr,glyciphage-vg2 tablet sr,tableta ozomet-vg2 sr,glimex mv 2mg/500mg/0.2mg tableta sr,tableta glimric-mv2 sr,starvog gm 2 tableta sr,gliciphage-vg2 tableta sr
gramocef-cv tablet,tableta gramocef-cv,trixon cv 200 mg/125 mg tablet,viocef cv 200 mg/125 mg tablet,mahacef-cv 200 tablet,sefix cv 200 mg/125 mg tablet,zifi cv 200 tablet,trixon cv 200 mg/125 mg de tableta,viocef cv 200 mg/125 mg de tableta,mahacef-cv 200 tableta,sefix cv 200 mg/125 mg de tableta,zifi cv 200 tableta
gemer p 1 tablet er,gemer p 1 tableta er,tri walaphage 1 tablet er,k-pio-gm 1mg tablet er,gpm -sr 1 tablet,glimcloud-mp 1 tablet er,glumight pm 1mg/500mg/15mg tablet er,tri walaphage 1 tableta er,k-pio-gm 1mg tableta er,gpm -sr 1 tableta,glimcloud-mp 1 tableta er,glumight pm 1mg/500mg/15mg tableta er
glycolate 2 tablet,glicolate 2 tableta,gcolate 2mg tablet,,,,,tableta de 2mg de gcolate,,,,
glucobay m50 tablet,tableta glucobay m50,diabose m tablet,glucotag m 50mg/500mg tablet,glucodac m 50mg/500mg tablet,acobose m 50mg/500mg tablet,disorb m 50mg/500mg tablet,diabose m tableta,glucotag m 50mg/500mg tableta,glucodac m 50mg/500mg tableta,acobose m 50mg/500mg tableta,disorbio m 50mg/500 mg de tableta
